mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	placement	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/2	3	1	G.I{	0	-3.61578		/	above	G	I		I	I						{	M	0	0	1, 5, 2		1.0	1.0	0	4	0.0	0.0	1.0	0.0
1	1	1/4	1/4	2/2	3	1	V	0	-3.61578		/	above	G	I		V	V							M	0	0	2, 6, 3		2.0	2.0	0	4	0.0	0.0	1.0	0.0
1	1	1/2	1/2	2/2	3	1	I	0	-3.61578		/	above	G	I		I	I							M	0	0	1, 5, 2		1.0	1.0	0	4	0.0	0.0	1.0	0.0
1	1	3/4	3/4	2/2	3	1	V	0	-3.61578		/	above	G	I		V	V							M	0	0	2, 6, 3		2.0	2.0	0	4	0.0	0.0	1.0	0.0
2	2	0	0	2/2	3	1	vi	0	-3.61578		/	above	G	I		vi	vi							m	0	0	4, 1, 5		4.0	4.0	0	4	0.0	0.0	1.0	0.0
2	2	1/4	1/4	2/2	3	1	V/vi	0	-3.61578		/	above	G	I		V/vi	V				vi			M	0	0	5, 9, 6		5.0	5.0	0	4	0.0	0.0	1.0	0.0
2	2	1/2	1/2	2/2	3	1	vi	0	-3.61578		/	above	G	I		vi	vi							m	0	0	4, 1, 5		4.0	4.0	0	4	0.0	0.0	1.0	0.0
2	2	3/4	3/4	2/2	3	1	V/vi	0	-3.61578		/	above	G	I		V/vi	V				vi			M	0	0	5, 9, 6		5.0	5.0	0	4	0.0	0.0	1.0	0.0
3	3	0	0	2/2	3	1	vi	0	-3.61578		/	above	G	I		vi	vi							m	0	0	4, 1, 5		4.0	4.0	0	4	0.0	0.0	1.0	0.0
3	3	1/4	1/4	2/2	3	1	I	0	-3.61578		/	above	G	I		I	I							M	0	0	1, 5, 2		1.0	1.0	0	4	0.0	0.0	1.0	0.0
3	3	1/2	1/2	2/2	3	1	IV	-0.252631	-3.48947		/	above	G	I		IV	IV							M	0	0	0, 4, 1		0.0	0.0	0	4	0.0	0.0	1.0	0.0
3	3	3/4	3/4	2/2	3	1	V	-0.252631	-3.48947		/	above	G	I		V	V							M	0	0	2, 6, 3		2.0	2.0	3	1	0.75	0.75	0.25	0.75
4	4	0	0	2/2	3	1	ii6	0	-3.7421		/	above	G	I		ii6	ii		6					m	0	0	0, 4, 3		3.0	0.0	2	4	0.3333333333333333	0.5	1.5	0.25
4	4	1/2	1/2	2/2	3	1	V	0.126316	-3.7421		/	above	G	I		V	V							M	0	0	2, 6, 3		2.0	2.0	0	6	0.0	0.0	2.75	0.0
5	5	1/4	1/4	2/2	3	1	V	0	-3.61578		/	above	G	I		V	V							M	0	0	2, 6, 3		2.0	2.0	0	3	0.0	0.0	0.75	0.0
5	5	1/2	1/2	2/2	3	1	vi7	0	-3.61578		/	above	G	I		vi7	vi		7					mm7	0	0	4, 1, 5, 2		4.0	4.0	1	4	0.2	0.75	1.75	0.3
6	6	1/4	1/4	2/2	2	1	viio						G	I		viio	vii	o						o	0	0	6, 3, 0		6.0	6.0	0	3	0.0	0.0	0.75	0.0
6	6	1/2	1/2	2/2	2	1	I(4)						G	I		I(4)	I			4				M	0	0	1, 0, 2		1.0	1.0	0	3	0.0	0.0	1.25	0.0
6	6	3/4	3/4	2/2	2	1	I	1.13684	3.24737		/		G	I		I	I							M	0	0	1, 5, 2		1.0	1.0	0	2	0.0	0.0	0.5	0.0
7	7	0	0	2/2	2	1	IV(9)						G	I		IV(9)	IV			9				M	0	0	0, 4, 1	2	0.0	0.0	0	4	0.0	0.0	1.5	0.0
7	7	1/4	1/4	2/2	2	1	ii6						G	I		ii6	ii		6					m	0	0	0, 4, 3		3.0	0.0	0	2	0.0	0.0	0.75	0.0
7	7	1/2	1/2	2/2	2	1	V						G	I		V	V							M	0	0	2, 6, 3		2.0	2.0	0	3	0.0	0.0	0.75	0.0
7	7	3/4	3/4	2/2	2	1	I						G	I		I	I							M	0	0	1, 5, 2		1.0	1.0	0	4	0.0	0.0	1.0	0.0
8	8	0	0	2/2	3	1	V(4)	-1.01053	-2.96989	-999	/	above	G	I		V(4)	V			4				M	0	0	2, 1, 3		2.0	2.0	0	4	0.0	0.0	1.25	0.0
8	8	1/4	1/4	2/2	3	1	V	0	-3.11272	-999	/	above	G	I		V	V							M	0	0	2, 6, 3		2.0	2.0	0	3	0.0	0.0	0.75	0.0
8	8	1/2	1/2	2/2	3	1	I|PAC}	-0.631579	-3.11052	-999	/	above	G	I		I	I					PAC	}	M	0	0	1, 5, 2		1.0	1.0	0	4	0.0	0.0	2.0	0.0
