mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	placement	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	4	1	d.i{	-0.08	8.34	/	below		d	i		i	i						{	m	1	1	2, -1, 3		2.0	2.0	0	8	0.0	0.0	2.0	0.0
1	1	1/2	1/2	4/4	4	1	ii2	-0.08	8.34	/	below		d	i		ii2	ii		2					mm7	1	1	2, 4, 1, 5		4.0	2.0	1	3	0.25	0.25	0.75	0.25
1	1	3/4	3/4	4/4	4	1	#viio7	-0.08	8.34	/	below		d	i		#viio7	#vii	o	7					o7	1	1	7, 4, 1, -2		7.0	7.0	0	4	0.0	0.0	1.0	0.0
2	2	0	0	4/4	4	1	i|IAC}	-0.08	8.34	/	below		d	i		i	i					IAC	}	m	1	1	2, -1, 3		2.0	2.0	0	4	0.0	0.0	2.0	0.0
3	3	0	0	4/4	4	1	i{	-0.08	8.34	/	below		d	i		i	i						{	m	1	1	2, -1, 3		2.0	2.0	0	4	0.0	0.0	1.5	0.0
3	3	3/8	3/8	4/4	4	1	V2/iv	-0.08	8.34	/	below		d	i		V2/iv	V		2		iv			Mm7	1	1	0, 2, 6, 3		2.0	0.0	0	4	0.0	0.0	0.5	0.0
3	3	1/2	1/2	4/4	4	1	iv6	-0.08	8.34	/	below		d	i		iv6	iv		6					m	1	1	-2, 2, 1		1.0	-2.0	0	4	0.0	0.0	1.0	0.0
3	3	3/4	3/4	4/4	4	1	V65/iv	-0.08	8.34	/	below		d	i		V65/iv	V		65		iv			Mm7	1	1	6, 3, 0, 2		2.0	6.0	0	4	0.0	0.0	1.0	0.0
4	4	0	0	4/4	4	1	iv(9)	-0.08	8.34	/	below		d	i		iv(9)	iv			9				m	1	1	1, -2, 2	3	1.0	1.0	0	5	0.0	0.0	1.375	0.0
4	4	1/4	1/4	4/4	4	1	iv	-0.08	8.34	/	below		d	i		iv	iv							m	1	1	1, -2, 2		1.0	1.0	0	4	0.0	0.0	0.875	0.0
4	4	1/2	1/2	4/4	4	1	V65	-0.08	8.34	/	below		d	i		V65	V		65					Mm7	1	1	7, 4, 1, 3		3.0	7.0	0	3	0.0	0.0	0.75	0.0
4	4	3/4	3/4	4/4	4	1	i	-0.08	8.34	/	below		d	i		i	i							m	1	1	2, -1, 3		2.0	2.0	0	4	0.0	0.0	1.0	0.0
5	5	0	0	4/4	4	1	iv	-0.08	8.34	/	below		d	i		iv	iv							m	1	1	1, -2, 2		1.0	1.0	1	4	0.2	0.125	0.875	0.125
5	5	1/4	1/4	4/4	4	1	V65/V	-0.08	8.34	/	below		d	i		V65/V	V		65		V			Mm7	1	1	8, 5, 2, 4		4.0	8.0	1	4	0.2	0.125	1.125	0.1
5	5	1/2	1/2	4/4	4	1	V(64)	-0.08	8.34	/	below		d	i		V(64)	V			64				M	1	1	3, 2, -1		3.0	3.0	0	3	0.0	0.0	1.25	0.0
5	5	3/4	3/4	4/4	4	1	V	-0.08	8.34	/	below		d	i		V	V							M	1	1	3, 7, 4		3.0	3.0	0	2	0.0	0.0	0.5	0.0
6	6	0	0	4/4	4	1	i|PAC}{	-0.08	8.34	/	below		d	i		i	i					PAC	}{	m	1	1	2, -1, 3		2.0	2.0	0	4	0.0	0.0	1.0	0.0
6	6	1/4	1/4	4/4	4	1	v6	-0.08	8.34	/	below		d	i		v6	v		6					m	1	1	0, 4, 3		3.0	0.0	0	5	0.0	0.0	1.125	0.0
6	6	1/2	1/2	4/4	4	1	iv6(2)	-0.08	8.34	/	below		d	i		iv6(2)	iv		6	2				m	1	1	-2, 2, 3		1.0	-2.0	1	4	0.2	0.0625	1.5625	0.038461538461538464
6	6	3/4	3/4	4/4	4	1	iv6	-0.08	8.34	/	below		d	i		iv6	iv		6					m	1	1	-2, 2, 1		1.0	-2.0	0	1	0.0	0.0	0.25	0.0
