mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=220	220.0	𝅘𝅥	220.0	0.0				
1	1	0	0	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	0										
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	1										
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	2										
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	3										
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	4										
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	5										
1	1	0	0	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	6										
1	1	1	1	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	7										
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	4	1	0										1/4	6		
1	1	2	2	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	8										
1	1	3	3	0.0	3/4	3/4	FiguredBass	4/4	4	1	0										1/4	6		
1	1	3	3	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	9										
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	10										
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	11										
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	12										
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	13										
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	14										
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	15										
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	16										
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	17										
2	2	4	4	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	18										
2	2	5	5	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	19										
2	2	6	6	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	20										
2	2	7	7	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	21										
2	2	4	4	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	22										
2	2	5	5	0.0	1/4	1/4	FiguredBass	4/4	4	1	0										1/4	#		
2	2	5	5	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	23										
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	4	1	0										1/4	6		
2	2	6	6	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	24										
2	2	7	7	0.0	3/4	3/4	FiguredBass	4/4	4	1	0										1/4	6		
2	2	7	7	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	25										
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	26										
