mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0				Grave								
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=40	40.0	𝅘𝅥	40.0	0.0			
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	0									
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	1									
1	1	0	0	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	2									
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	3									
1	1	0	0	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	4									
1	1	3	3	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										1/4	6	4
1	1	3	3	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	5									
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	6									
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	7									
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	8									
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	9									
2	2	4	4	0.0	0	0	FiguredBass	4/4	3	1	0										1/2	6	5
2	2	4	4	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	10									
2	2	7	7	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	11									
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	12									
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	13									
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	14									
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	15									
3	3	8	8	0.0	0	0	FiguredBass	4/4	3	1	0										1/2	4+	2
3	3	8	8	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	16									
3	3	11	11	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										1/4	6	
3	3	11	11	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	17									
4	4	12	12	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	18									
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	19									
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	20									
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	21									
4	4	12	12	0.0	0	0	FiguredBass	4/4	3	1	0										1/2	6	5
4	4	12	12	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	22									
4	4	15	15	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	23									
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	24									
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	25									
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	26									
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	27									
5	5	16	16	0.0	0	0	FiguredBass	4/4	3	1	0										1/4	6	5
5	5	16	16	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	28									
5	5	18	18	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	29									
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	30									
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	31									
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	32									
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	33									
6	6	20	20	0.0	0	0	FiguredBass	4/4	3	1	0										1/4	6	
6	6	20	20	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	34									
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/2	#	
6	6	22	22	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	35									
