mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
5	5	12	12	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	46				
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	47				
5	5	13	13	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	48				
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	49				
5	5	14	14	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	50				
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	51				
5	5	12	12	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	52				
5	5	13	13	0.0	1/4	1/4	FiguredBass	3/4	3	1	0					1/4	6	
5	5	13	13	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	53				
5	5	14	14	0.0	1/2	1/2	FiguredBass	3/4	3	1	0					1/4	#	
5	5	14	14	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	54				
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	55				
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	56				
6	6	16	16	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	57				
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	58				
6	6	17	17	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	59				
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	60				
6	6	15	15	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	61				
6	6	15	15	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	62				
6	6	17	17	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	63				
7	7	18	18	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	64				
7	7	18	18	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	65				
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	66				
7	7	19	19	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	67				
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	68				
7	7	20	20	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	69				
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	70				
7	7	18	18	0.0	0	0	FiguredBass	3/4	3	1	0					1/2	6	
7	7	18	18	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	71				
7	7	20	20	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	72				
8	8	21	21	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	73				
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	74				
8	8	22	22	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	75				
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	76				
8	8	23	23	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	77				
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	78				
8	8	21	21	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	79				
8	8	21	21	0.0	0	0	FiguredBass	3/4	3	1	0					1/2	7	
8	8	21	21	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	80				
8	8	23	23	0.0	1/2	1/2	FiguredBass	3/4	3	1	0					1/4	#	
8	8	23	23	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	81				
9	9	24	24	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	82				
9	9	24	24	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	83				
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	84				
9	9	25	25	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	85				
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	86				
9	9	26	26	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	87				
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	88				
9	9	24	24	0.0	0	0	FiguredBass	3/4	3	1	0					1/2	#	
9	9	24	24	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	89				
9	9	26	26	0.0	1/2	1/2	FiguredBass	3/4	3	1	0					1/4	6	
9	9	26	26	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	90				
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	91				
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	92				
10	10	28	28	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	93				
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	94				
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	95				
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	96				
10	10	27	27	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	97				
10	10	27	27	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	98				
10	10	29	29	0.0	1/2	1/2	FiguredBass	3/4	3	1	0					1/4	6	
10	10	29	29	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	99				
11	11	30	30	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	100				
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	101				
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	102				
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	103				
11	11	30	30	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	104				
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	105				
11	11	31	31	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	106				
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	107				
11	11	32	32	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	108				
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	109				
11	11	30	30	0.0	0	0	FiguredBass	3/4	3	1	0					1/2	#	
11	11	30	30	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	110				
11	11	32	32	0.0	1/2	1/2	FiguredBass	3/4	3	1	0					1/4	6	
11	11	32	32	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	111				
12	12	33	33	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	112				
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	113				
12	12	35	35	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	114				
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	115				
12	12	33	33	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	116				
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	117				
12	12	34	34	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	118				
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	119				
12	12	35	35	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	120				
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	121				
12	12	33	33	0.0	0	0	FiguredBass	3/4	3	1	0					1/2	5	
12	12	33	33	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	122				
12	12	35	35	0.0	1/2	1/2	FiguredBass	3/4	3	1	0					1/4	6	
12	12	35	35	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	123				
13	13	36	36	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	124				
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	125				
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	126				
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	127				
13	13	36	36	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	128				
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	129				
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	130				
13	13	36	36	0.0	0	0	FiguredBass	3/4	3	1	0					1/2	#	
13	13	36	36	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	131				
13	13	38	38	0.0	1/2	1/2	FiguredBass	3/4	3	1	0					1/4	6	
13	13	38	38	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	132				
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	133				
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	134				
14	14	40	40	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	135				
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	136				
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	137				
14	14	40	40	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	138				
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	139				
14	14	39	39	0.0	0	0	FiguredBass	3/4	3	1	0					1/4	6	5
14	14	39	39	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	140				
14	14	40	40	0.0	1/4	1/4	FiguredBass	3/4	3	1	0					1/4	5	4
14	14	40	40	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	141				
14	14	41	41	0.0	1/2	1/2	FiguredBass	3/4	3	1	0					1/4	#	
14	14	41	41	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	142				
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	143				
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	144				
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	145				
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	146				
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	147				
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	148				
15	15	42	42	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	149				
15	15	42	42	0.0	0	0	FiguredBass	3/4	3	1	0					3/4	#	
15	15	42	42	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	150				
16	16	45	45	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	151				
16	16	45	45	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	152				
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	153				
16	16	46	46	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	154				
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	155				
16	16	47	47	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	156				
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	157				
16	16	45	45	0.0	0	0	FiguredBass	3/4	3	1	0					3/4	#	
16	16	45	45	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	158				
17	17	48	48	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	159				
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	160				
17	17	49	49	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	161				
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	162				
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	163				
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	164				
17	17	48	48	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	165				
17	17	48	48	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	166				
18	18	51	51	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	167				
18	18	51	51	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	168				
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	169				
18	18	52	52	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	170				
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	171				
18	18	53	53	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	172				
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	173				
18	18	51	51	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	174				
19	19	54	54	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	175				
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	176				
19	19	55	55	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	177				
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	178				
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	179				
19	19	54	54	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	180				
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	181				
19	19	56	56	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	182				
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	183				
19	19	54	54	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	184				
19	19	56	56	0.0	1/2	1/2	FiguredBass	3/4	3	1	0					1/4	6	
19	19	56	56	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	185				
20	20	57	57	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	186				
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	187				
20	20	58	58	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	188				
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	189				
20	20	59	59	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	190				
20	20	57	57	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	191				
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	192				
20	20	59	59	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	193				
20	20	119/2	119/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	194				
20	20	57	57	0.0	0	0	FiguredBass	3/4	3	1	0					1/2	#	
20	20	57	57	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	195				
20	20	59	59	0.0	1/2	1/2	FiguredBass	3/4	3	1	0					1/4	6	
20	20	59	59	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	196				
21	21	60	60	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	197				
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	198				
21	21	61	61	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	199				
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	200				
21	21	60	60	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	201				
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	202				
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	203				
21	21	60	60	0.0	0	0	FiguredBass	3/4	3	1	0					1/2	56	
21	21	60	60	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	204				
21	21	62	62	0.0	1/2	1/2	FiguredBass	3/4	3	1	0					1/4	5	
21	21	62	62	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	205				
22	22	63	63	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	206				
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	207				
22	22	65	65	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	208				
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	209				
22	22	63	63	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	210				
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	211				
22	22	64	64	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	212				
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	213				
22	22	63	63	0.0	0	0	FiguredBass	3/4	3	1	0					1/4	6	
22	22	63	63	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	214				
22	22	64	64	0.0	1/4	1/4	FiguredBass	3/4	3	1	0					1/2	56	
22	22	64	64	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	215				
23	23	66	66	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	216				
23	23	66	66	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	217				
23	23	66	66	0.0	0	0	FiguredBass	3/4	3	1	0					1/2	#	
23	23	66	66	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	218				
