mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	2	2	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	0				
1	1	4	4	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	1				
1	1	2	2	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	2				
1	1	4	4	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	3				
1	1	0	0	6.0	0	0	Chord	3/2	3	1	3/2	1	3/2	4				
1	1	0	0	6.0	0	0	Chord	3/2	4	1	3/2	1	3/2	5				
1	1	4	4	0.0	1	1	FiguredBass	3/2	4	1	0				1/2	4	2	
2	2	6	6	3.0	0	0	Chord	3/2	1	1	3/4	1/2	3/2	6				
2	2	9	9	1.0	3/4	3/4	Chord	3/2	1	1	1/4	1/4	1	7				
2	2	10	10	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	8				
2	2	6	6	3.0	0	0	Chord	3/2	2	1	3/4	1/2	3/2	9				
2	2	9	9	1.0	3/4	3/4	Chord	3/2	2	1	1/4	1/4	1	10				
2	2	10	10	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	11				
2	2	6	6	3.0	0	0	Chord	3/2	3	1	3/4	1/2	3/2	12				
2	2	9	9	1.0	3/4	3/4	Chord	3/2	3	1	1/4	1/4	1	13				
2	2	10	10	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	14				
2	2	6	6	0.0	0	0	FiguredBass	3/2	4	1	0				3/4	5		
2	2	6	6	3.0	0	0	Chord	3/2	4	1	3/4	1/2	3/2	15				
2	2	9	9	1.0	3/4	3/4	Chord	3/2	4	1	1/4	1/4	1	16				
2	2	10	10	0.0	1	1	FiguredBass	3/2	4	1	0				1/2	6		
2	2	10	10	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	17				
3	3	12	12	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	18				
3	3	14	14	3.0	1/2	1/2	Chord	3/2	1	1	3/4	1/2	3/2	19				
3	3	17	17	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	20				
3	3	12	12	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	21				
3	3	14	14	3.0	1/2	1/2	Chord	3/2	2	1	3/4	1/2	3/2	22				
3	3	17	17	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	23				
3	3	12	12	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	24				
3	3	14	14	4.0	1/2	1/2	Chord	3/2	3	1	1	1	1	25				
3	3	12	12	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	26				
3	3	14	14	0.0	1/2	1/2	FiguredBass	3/2	4	1	0				1	6		
3	3	14	14	4.0	1/2	1/2	Chord	3/2	4	1	1	1	1	27				
4	4	18	18	4.0	0	0	Chord	3/2	1	1	1	1	1	28				
4	4	18	18	4.0	0	0	Chord	3/2	2	1	1	1	1	29				
