mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	105									
5	5	19	19	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										1/8	3	
5	5	19	19	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	106									
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	107									
6	6	20	20	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	108									
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	109									
6	6	21	21	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	110									
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	111									
6	6	22	22	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	112									
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	113									
6	6	23	23	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	114									
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	115									
6	6	20	20	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	116									
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	117									
6	6	21	21	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	118									
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	119									
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	120									
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	121									
6	6	23	23	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	122									
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	123									
6	6	20	20	0.0	0	0	FiguredBass	4/4	3	1	0										1/8	#	
6	6	20	20	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	124									
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	125									
6	6	21	21	0.0	1/4	1/4	FiguredBass	4/4	3	1	0										1/8	6	4
6	6	21	21	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	126									
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	127									
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/8	5	4
6	6	22	22	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	128									
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	129									
6	6	23	23	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										1/8	#	
6	6	23	23	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	130									
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	131									
7	7	24	24	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	132									
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	133									
7	7	25	25	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	134									
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	135									
7	7	26	26	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	136									
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	137									
7	7	27	27	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	138									
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	139									
7	7	24	24	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	140									
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	141									
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	142									
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	143									
7	7	26	26	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	144									
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	145									
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	146									
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	147									
7	7	24	24	0.0	0	0	FiguredBass	4/4	3	1	0										1/8	9	
7	7	24	24	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	148									
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	149									
7	7	25	25	0.0	1/4	1/4	FiguredBass	4/4	3	1	0										1/8	8	
7	7	25	25	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	150									
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	151									
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/8	6	5
7	7	26	26	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	152									
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	153									
7	7	27	27	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	154									
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	155									
8	8	28	28	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	156									
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	157									
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	158									
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	159									
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	160									
8	8	28	28	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	161									
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	162									
8	8	29	29	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	163									
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	164									
8	8	30	30	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	165									
8	8	31	31	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	166									
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	167									
8	8	28	28	0.0	0	0	FiguredBass	4/4	3	1	0										1/8	7	
8	8	28	28	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	168									
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	169									
8	8	29	29	0.0	1/4	1/4	FiguredBass	4/4	3	1	0										1/8	6	
8	8	29	29	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	170									
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	171									
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/4	#	
8	8	30	30	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	172									
8	8	31	31	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	173									
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	174									
9	9	32	32	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	175									
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	176									
9	9	33	33	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	177									
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	178									
9	9	34	34	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	179									
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	180									
9	9	35	35	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	181									
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	182									
9	9	32	32	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	183									
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	184									
9	9	33	33	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	185									
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	186									
9	9	34	34	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	187									
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	188									
9	9	35	35	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	189									
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	190									
9	9	32	32	0.0	0	0	FiguredBass	4/4	3	1	0										1/8	7	
9	9	32	32	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	191									
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	192									
9	9	33	33	0.0	1/4	1/4	FiguredBass	4/4	3	1	0										1/8	6	
9	9	33	33	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	193									
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	194									
9	9	34	34	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/8	5	
9	9	34	34	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	195									
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	196									
9	9	35	35	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										1/8	6	
9	9	35	35	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	197									
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	198									
10	10	36	36	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	199									
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	200									
10	10	37	37	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	201									
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	202									
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	203									
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	204									
10	10	36	36	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	205									
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	206									
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	207									
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	208									
10	10	38	38	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	209									
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	210									
10	10	36	36	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	211									
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	212									
10	10	37	37	0.0	1/4	1/4	FiguredBass	4/4	3	1	0										1/8	6	
10	10	37	37	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	213									
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	214									
10	10	38	38	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/4	6	4+
10	10	38	38	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	215									
10	10	39	39	0.0	3/4	3/4	FiguredBass	4/4	3	1	0										1/4	7	5
10	10	39	39	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	216									
11	11	40	40	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	217									
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	218									
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	219									
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	220									
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	221									
11	11	40	40	0.0	0	0	FiguredBass	4/4	3	1	0										1/2	5	4#
11	11	40	40	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	222									
11	11	42	42	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	223									
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	224									
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	225									
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	226									
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	227									
12	12	44	44	0.0	0	0	FiguredBass	4/4	3	1	0										1/4	6	
12	12	44	44	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	228									
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	3	1	0										1/4	6	
12	12	46	46	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	229									
13	13	48	48	4.0	0	0	Chord	4/4	1	1	1	1	1	230									
13	13	48	48	4.0	0	0	Chord	4/4	2	1	1	1	1	231									
13	13	48	48	0.0	0	0	FiguredBass	4/4	3	1	0										1	#	
13	13	48	48	4.0	0	0	Chord	4/4	3	1	1	1	1	232									
