mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0				𝅘𝅥=50	50.0	𝅘𝅥	50.0	0.0					
1	1	0	0	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	0										
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	1										
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	2										
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	3										
1	1	0	0	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	4										
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	5										
1	1	2	2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	6										
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	7										
1	1	0	0	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	8										
1	1	1	1	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	9										
1	1	2	2	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	10										
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	11										
1	1	0	0	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	12										
1	1	1	1	0.0	1/4	1/4	FiguredBass	4/4	4	1	0									1/4	6			
1	1	1	1	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	13										
1	1	2	2	1.5	1/2	1/2	Chord	4/4	4	1	3/8	1/4	3/2	14										
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	15										
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	16										
2	2	5	5	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	17										
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	18										
2	2	6	6	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	19										
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	20										
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	21										
2	2	4	4	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	22										
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	23										
2	2	6	6	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	24										
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	25										
2	2	4	4	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	26										
2	2	6	6	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	27										
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	28										
2	2	4	4	0.0	0	0	FiguredBass	4/4	4	1	0									1/4	7			
2	2	4	4	2.0	0	0	Chord	4/4	4	1	1/2	1/2	1	29										
2	2	5	5	0.0	1/4	1/4	FiguredBass	4/4	4	1	0									1/4	6			
2	2	6	6	1.5	1/2	1/2	Chord	4/4	4	1	3/8	1/4	3/2	30										
2	2	15/2	15/2	0.0	7/8	7/8	FiguredBass	4/4	4	1	0									1/8	6			
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	31										
3	3	8	8	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	32										
3	3	17/2	17/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	33										0
3	3	35/4	35/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	34										
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	35										
3	3	10	10	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	36										
3	3	21/2	21/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	37										
3	3	43/4	43/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	38										
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	39										
3	3	8	8	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	40										
