mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	0				
1	1	7/4	7/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	1				
1	1	2	2	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	2				
1	1	11/4	11/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	3				
1	1	3	3	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	4				
1	1	15/4	15/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	5				
2	2	4	4	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	6				
2	2	23/4	23/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	7				
2	2	6	6	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	8				
2	2	27/4	27/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	9				
2	2	7	7	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	10				
2	2	31/4	31/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	11				
2	2	4	4	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	12				
2	2	23/4	23/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	13				
2	2	6	6	0.75	1/2	1/2	Chord	4/4	2	1	3/16	1/8	3/2	14				
2	2	27/4	27/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	15				
2	2	7	7	0.75	3/4	3/4	Chord	4/4	2	1	3/16	1/8	3/2	16				
2	2	31/4	31/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	17				
3	3	8	8	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	18				
3	3	39/4	39/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	19				
3	3	10	10	0.75	1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	20				
3	3	43/4	43/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	21				
3	3	11	11	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	22				
