mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	0.0	0	0	Tempo	3/2	1	1	0				𝅘𝅥=120	120.0	𝅘𝅥	120.0	0.0					
1	1	2	2	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	0										
1	1	4	4	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	1										
1	1	2	2	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	2										
1	1	4	4	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	3										
1	1	2	2	4.0	1/2	1/2	Chord	3/2	3	1	1	1	1	4										
1	1	2	2	4.0	1/2	1/2	Chord	3/2	4	1	1	1	1	5										
1	1	4	4	0.0	1	1	FiguredBass	3/2	4	1	0									1/2	4b	2		
2	2	6	6	4.0	0	0	Chord	3/2	1	1	1	1	1	6										
2	2	10	10	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	7										
2	2	6	6	4.0	0	0	Chord	3/2	2	1	1	1	1	8										
2	2	10	10	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	9										
2	2	6	6	4.0	0	0	Chord	3/2	3	1	1	1	1	10										
2	2	10	10	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	11										
2	2	6	6	0.0	0	0	FiguredBass	3/2	4	1	0									1	5			
2	2	6	6	4.0	0	0	Chord	3/2	4	1	1	1	1	12										
2	2	10	10	0.0	1	1	FiguredBass	3/2	4	1	0									1/2	6			
2	2	10	10	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	13										
3	3	12	12	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	14										
3	3	14	14	3.0	1/2	1/2	Chord	3/2	1	1	3/4	1/2	3/2	15										
3	3	17	17	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	16										
3	3	12	12	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	17										
3	3	14	14	4.0	1/2	1/2	Chord	3/2	2	1	1	1	1	18										
3	3	12	12	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	19										
3	3	14	14	4.0	1/2	1/2	Chord	3/2	3	1	1	1	1	20										
3	3	12	12	0.0	0	0	FiguredBass	3/2	4	1	0									1/2	6	5		
3	3	12	12	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	21										
3	3	14	14	0.0	1/2	1/2	FiguredBass	3/2	4	1	0									1/2	5	4		
3	3	14	14	4.0	1/2	1/2	Chord	3/2	4	1	1	1	1	22										
3	3	16	16	0.0	1	1	FiguredBass	3/2	4	1	0									1/2	3			
4	4	18	18	4.0	0	0	Chord	3/2	1	1	1	1	1	23										
4	4	22	22	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	24										
4	4	18	18	4.0	0	0	Chord	3/2	2	1	1	1	1	25										
4	4	22	22	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	26										
4	4	18	18	4.0	0	0	Chord	3/2	3	1	1	1	1	27										
4	4	22	22	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	28										
4	4	18	18	4.0	0	0	Chord	3/2	4	1	1	1	1	29										
4	4	22	22	0.0	1	1	FiguredBass	3/2	4	1	0									1/2	6			
4	4	22	22	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	30										
5	5	24	24	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	31										
5	5	26	26	3.0	1/2	1/2	Chord	3/2	1	1	3/4	1/2	3/2	32										
5	5	29	29	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	33										
5	5	24	24	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	34										
5	5	26	26	3.0	1/2	1/2	Chord	3/2	2	1	3/4	1/2	3/2	35										
5	5	29	29	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	36										
5	5	24	24	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	37										
5	5	26	26	4.0	1/2	1/2	Chord	3/2	3	1	1	1	1	38										
5	5	24	24	0.0	0	0	FiguredBass	3/2	4	1	0									1/2	6			
5	5	24	24	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	39										
5	5	26	26	0.0	1/2	1/2	FiguredBass	3/2	4	1	0									1	6b			
5	5	26	26	4.0	1/2	1/2	Chord	3/2	4	1	1	1	1	40										
6	6	30	30	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	41										
6	6	32	32	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	42										
6	6	34	34	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	43										
6	6	30	30	4.0	0	0	Chord	3/2	2	1	1	1	1	44										
6	6	34	34	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	45										
6	6	30	30	4.0	0	0	Chord	3/2	3	1	1	1	1	46										
6	6	34	34	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	47										
6	6	30	30	0.0	0	0	FiguredBass	3/2	4	1	0									1/2	b7			
6	6	30	30	4.0	0	0	Chord	3/2	4	1	1	1	1	48										
6	6	32	32	0.0	1/2	1/2	FiguredBass	3/2	4	1	0									1/2	6			
6	6	34	34	0.0	1	1	FiguredBass	3/2	4	1	0									1/2	6			
6	6	34	34	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	49										
7	7	36	36	1.0	0	0	Chord	3/2	1	1	1/4	1/4	1	50										
7	7	37	37	1.0	1/4	1/4	Chord	3/2	1	1	1/4	1/4	1	51										
7	7	38	38	3.0	1/2	1/2	Chord	3/2	1	1	3/4	1/2	3/2	52										
7	7	41	41	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	53										
7	7	36	36	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	54										
7	7	38	38	3.0	1/2	1/2	Chord	3/2	2	1	3/4	1/2	3/2	55										
7	7	41	41	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	56										
7	7	36	36	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	57										
7	7	38	38	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	58										
7	7	40	40	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	59										
7	7	36	36	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	60										
7	7	38	38	0.0	1/2	1/2	FiguredBass	3/2	4	1	0									1/2	5	4		
7	7	38	38	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	61										
7	7	40	40	0.0	1	1	FiguredBass	3/2	4	1	0									1/2	3			
7	7	40	40	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	62										
8	8	42	42	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	63										
8	8	44	44	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	64										
8	8	46	46	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	65										
8	8	42	42	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	66										
8	8	44	44	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	67										
8	8	46	46	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	68										
8	8	42	42	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	69										
8	8	44	44	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	70										
8	8	46	46	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	71										
8	8	42	42	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	72										
8	8	44	44	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	73										
8	8	46	46	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	74										
9	9	48	48	4.0	0	0	Chord	3/2	1	1	1	1	1	75										
9	9	52	52	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	76										
9	9	48	48	4.0	0	0	Chord	3/2	2	1	1	1	1	77										
9	9	52	52	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	78										
9	9	48	48	4.0	0	0	Chord	3/2	3	1	1	1	1	79										
9	9	52	52	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	80										
9	9	48	48	0.0	0	0	FiguredBass	3/2	4	1	0									1	6	4h		
9	9	48	48	4.0	0	0	Chord	3/2	4	1	1	1	1	81										
9	9	52	52	0.0	1	1	FiguredBass	3/2	4	1	0									1/2	6			
9	9	52	52	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	82										
10	10	54	54	4.0	0	0	Chord	3/2	1	1	1	1	1	83										
10	10	58	58	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	84										
10	10	54	54	4.0	0	0	Chord	3/2	2	1	1	1	1	85										
10	10	58	58	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	86										
10	10	54	54	4.0	0	0	Chord	3/2	3	1	1	1	1	87										
10	10	58	58	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	88										
10	10	54	54	0.0	0	0	FiguredBass	3/2	4	1	0									1	7			
10	10	54	54	4.0	0	0	Chord	3/2	4	1	1	1	1	89										
10	10	58	58	0.0	1	1	FiguredBass	3/2	4	1	0									1/2	7			
10	10	58	58	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	90										
11	11	60	60	4.0	0	0	Chord	3/2	1	1	1	1	1	91										
11	11	64	64	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	92										
11	11	60	60	4.0	0	0	Chord	3/2	2	1	1	1	1	93										
11	11	64	64	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	94										
11	11	60	60	4.0	0	0	Chord	3/2	3	1	1	1	1	95										
11	11	64	64	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	96										
11	11	60	60	4.0	0	0	Chord	3/2	4	1	1	1	1	97										
11	11	64	64	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	98										
12	12	66	66	4.0	0	0	Chord	3/2	1	1	1	1	1	99										
12	12	70	70	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	100										
12	12	66	66	4.0	0	0	Chord	3/2	2	1	1	1	1	101										
12	12	70	70	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	102										
12	12	66	66	4.0	0	0	Chord	3/2	3	1	1	1	1	103										
12	12	70	70	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	104										
12	12	66	66	0.0	0	0	FiguredBass	3/2	4	1	0									1	4	2		
12	12	66	66	4.0	0	0	Chord	3/2	4	1	1	1	1	105										
12	12	70	70	0.0	1	1	FiguredBass	3/2	4	1	0									1/2	6			
12	12	70	70	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	106										
13	13	72	72	4.0	0	0	Chord	3/2	1	1	1	1	1	107										
13	13	76	76	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	108										
13	13	72	72	4.0	0	0	Chord	3/2	2	1	1	1	1	109										
13	13	76	76	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	110										
13	13	72	72	4.0	0	0	Chord	3/2	3	1	1	1	1	111										
13	13	76	76	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	112										
13	13	72	72	0.0	0	0	FiguredBass	3/2	4	1	0									1	4	2		
13	13	72	72	4.0	0	0	Chord	3/2	4	1	1	1	1	113										
13	13	76	76	0.0	1	1	FiguredBass	3/2	4	1	0									1/2	6			
13	13	76	76	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	114										
14	14	78	78	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	115										
14	14	80	80	3.0	1/2	1/2	Chord	3/2	1	1	3/4	1/2	3/2	116										
14	14	83	83	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	117										
14	14	78	78	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	118										
14	14	80	80	4.0	1/2	1/2	Chord	3/2	2	1	1	1	1	119										
14	14	78	78	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	120										
14	14	80	80	4.0	1/2	1/2	Chord	3/2	3	1	1	1	1	121										
14	14	78	78	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	122										
14	14	80	80	0.0	1/2	1/2	FiguredBass	3/2	4	1	0									1/2	7	b		
14	14	80	80	4.0	1/2	1/2	Chord	3/2	4	1	1	1	1	123										
14	14	82	82	0.0	1	1	FiguredBass	3/2	4	1	0									1/2	6			
15	15	84	84	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	124										
