mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	4	4	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	0					
1	1	4	4	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	1					
1	1	4	4	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	2					
1	1	4	4	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	3					
2	2	6	6	4.0	0	0	Chord	3/2	1	1	1	1	1	4					
2	2	10	10	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	5					
2	2	6	6	4.0	0	0	Chord	3/2	2	1	1	1	1	6					
2	2	10	10	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	7					
2	2	6	6	4.0	0	0	Chord	3/2	3	1	1	1	1	8					
2	2	10	10	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	9					
2	2	6	6	0.0	0	0	FiguredBass	3/2	4	1	0				1	#			
2	2	6	6	4.0	0	0	Chord	3/2	4	1	1	1	1	10					
2	2	10	10	0.0	1	1	FiguredBass	3/2	4	1	0				1/2	5			
2	2	10	10	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	11					
3	3	12	12	4.0	0	0	Chord	3/2	1	1	1	1	1	12					
3	3	16	16	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	13					
3	3	12	12	4.0	0	0	Chord	3/2	2	1	1	1	1	14					
3	3	16	16	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	15					
3	3	12	12	4.0	0	0	Chord	3/2	3	1	1	1	1	16					
3	3	16	16	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	17					
3	3	12	12	4.0	0	0	Chord	3/2	4	1	1	1	1	18					
3	3	16	16	0.0	1	1	FiguredBass	3/2	4	1	0				1/2	6			
3	3	16	16	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	19					
4	4	18	18	4.0	0	0	Chord	3/2	1	1	1	1	1	20					
4	4	22	22	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	21					
4	4	18	18	4.0	0	0	Chord	3/2	2	1	1	1	1	22					
4	4	22	22	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	23					
4	4	18	18	4.0	0	0	Chord	3/2	3	1	1	1	1	24					
4	4	22	22	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	25					
4	4	18	18	4.0	0	0	Chord	3/2	4	1	1	1	1	26					
4	4	22	22	0.0	1	1	FiguredBass	3/2	4	1	0				1/2	6			
