mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
2	2	7	7	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	33					
2	2	15/2	15/2	0.0	7/8	7/8	FiguredBass	4/4	3	1	0					1/8	7		
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	34					
3	3	8	8	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	35					
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	36					
3	3	9	9	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	37					
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	38					
3	3	10	10	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	39					
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	40					
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	41					
3	3	8	8	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	42					
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	43					
3	3	10	10	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	44					
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	45					
3	3	8	8	0.0	0	0	FiguredBass	4/4	3	1	0					1/8	7		
3	3	8	8	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	46					
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	47					
3	3	9	9	0.0	1/4	1/4	FiguredBass	4/4	3	1	0					1/8	6		
3	3	9	9	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	48					
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	49					
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	3	1	0					1/8	4+	2	
3	3	10	10	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	50					
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	51					
3	3	11	11	0.0	3/4	3/4	FiguredBass	4/4	3	1	0					1/8	6		
3	3	11	11	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	52					
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	53					
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	54					
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	55					
4	4	14	14	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	56					
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	57					
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	58					
4	4	12	12	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	59					
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	60					
4	4	14	14	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	61					
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	62					
4	4	12	12	0.0	0	0	FiguredBass	4/4	3	1	0					1/8	7		
4	4	12	12	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	63					
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	64					
4	4	13	13	0.0	1/4	1/4	FiguredBass	4/4	3	1	0					1/8	7	#	
4	4	13	13	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	65					
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	66					
4	4	14	14	0.0	1/2	1/2	FiguredBass	4/4	3	1	0					1/8	5		
4	4	14	14	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	67					
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	68					
4	4	15	15	0.0	3/4	3/4	FiguredBass	4/4	3	1	0					1/8	6		
4	4	15	15	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	69					
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	70					
5	5	16	16	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	71					
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	72					
5	5	17	17	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	73					
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	74					
5	5	16	16	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	75					
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	76					
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	77					
5	5	16	16	0.0	0	0	FiguredBass	4/4	3	1	0					1/8	7		
5	5	16	16	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	78					
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	79					
5	5	17	17	0.0	1/4	1/4	FiguredBass	4/4	3	1	0					1/8	6		
5	5	17	17	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	80					
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	81					
5	5	18	18	0.0	1/2	1/2	FiguredBass	4/4	3	1	0					1/4	7		
5	5	18	18	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	82					
5	5	19	19	0.0	3/4	3/4	FiguredBass	4/4	3	1	0					1/4	7	#	
5	5	19	19	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	83					
6	6	20	20	4.0	0	0	Chord	4/4	1	1	1	1	1	84					
6	6	20	20	4.0	0	0	Chord	4/4	2	1	1	1	1	85					
6	6	20	20	0.0	0	0	FiguredBass	4/4	3	1	0					1	#		
6	6	20	20	4.0	0	0	Chord	4/4	3	1	1	1	1	86					
