mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	0					
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	1					
1	1	2	2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	2					
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	3					
1	1	3	3	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	4					
1	1	7/2	7/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	5					
1	1	15/4	15/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	6					
2	2	4	4	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	7					
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	8					
2	2	6	6	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	9					
2	2	13/2	13/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	10					
2	2	27/4	27/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	11					
2	2	7	7	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	12					
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	13					
3	3	8	8	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	14					
3	3	17/2	17/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	15					
3	3	35/4	35/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	16					
3	3	9	9	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	17					
3	3	19/2	19/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	18					
3	3	39/4	39/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	19					
3	3	10	10	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	20					
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	21					
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	22					
3	3	10	10	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	23					
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	24					
4	4	12	12	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	25					
4	4	25/2	25/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	26					
4	4	51/4	51/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	27					
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	28					
4	4	27/2	27/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	29					
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	30					
4	4	14	14	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	31					
4	4	29/2	29/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	32					
4	4	59/4	59/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	33					
4	4	15	15	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	34					
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	35					
4	4	12	12	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	36					
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	37					
4	4	13	13	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	38					
4	4	27/2	27/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	39					
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	40					
4	4	14	14	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	41					
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	42					
5	5	16	16	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	43					
5	5	33/2	33/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	44					0
5	5	67/4	67/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	45					
5	5	17	17	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	46					
5	5	35/2	35/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	47					1
5	5	71/4	71/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	48					
5	5	18	18	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	49					
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	50					
5	5	16	16	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	51					
5	5	33/2	33/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	52					2
5	5	67/4	67/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	53					
5	5	17	17	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	54					
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	55					
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	56					
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	57					
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	58					
6	6	20	20	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	59					
6	6	41/2	41/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	60					3
6	6	83/4	83/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	61					
6	6	21	21	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	62					
6	6	85/4	85/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	63					
6	6	43/2	43/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	64					
6	6	87/4	87/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	65					
6	6	22	22	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	66					
