mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=138	138.0	𝅘𝅥	138.0	0.0				
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	0										
1	1	1	1	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	1										
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	2										
1	1	2	2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	3										
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	4										
1	1	3	3	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	5										
1	1	7/2	7/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	6										
1	1	15/4	15/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	7										
2	2	4	4	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	8										
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	9										
2	2	5	5	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	10										
2	2	11/2	11/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	11										
2	2	23/4	23/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	12										
2	2	6	6	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	13										
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	14										
2	2	7	7	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	15										
2	2	31/4	31/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	16										
3	3	8	8	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	17										
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	18										
3	3	9	9	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	19										
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	20										
