mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0				SarabandaLargo	50.0	1.0				
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	0							
1	1	1	1	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	1							
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	2							
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	3							
1	1	1	1	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	4							
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	5							
1	1	0	0	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	6							
1	1	1	1	0.0	1/4	1/4	FiguredBass	3/4	3	1	0							1/4	6		
1	1	1	1	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	7							
1	1	2	2	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	8							
2	2	3	3	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	9							
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	10							
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	11							
2	2	3	3	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	12							
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	13							
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	14							
2	2	3	3	0.0	0	0	FiguredBass	3/4	3	1	0							1/2	#		
2	2	3	3	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	15							
2	2	5	5	0.0	1/2	1/2	FiguredBass	3/4	3	1	0							1/4	_		
2	2	5	5	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	16							
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	17							0
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	18							
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	19							1
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	20							
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	21							2
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	22							
3	3	6	6	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	23							3
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	24							
3	3	7	7	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	25							4
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	26							
3	3	8	8	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	27							5
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	28							
3	3	6	6	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	29							
3	3	7	7	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	30							
3	3	8	8	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	31							
4	4	9	9	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	32							
4	4	21/2	21/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	33							6
4	4	43/4	43/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	34							6
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	35							
4	4	9	9	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	36							
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	37							
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	38							
4	4	9	9	0.0	0	0	FiguredBass	3/4	3	1	0							1/2	#		
4	4	9	9	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	39							
4	4	11	11	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	40							
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	41							
5	5	13	13	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	42							
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	43							
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	44							
5	5	13	13	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	45							
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	46							
5	5	12	12	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	47							
5	5	13	13	0.0	1/4	1/4	FiguredBass	3/4	3	1	0							1/4	6		
5	5	13	13	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	48							
5	5	14	14	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	49							
6	6	15	15	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	50							
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	51							
6	6	17	17	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	52							
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	53							
6	6	15	15	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	54							
6	6	15	15	0.0	0	0	FiguredBass	3/4	3	1	0							1/2	6		
6	6	15	15	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	55							
6	6	17	17	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	56							
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	57							
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	58							
7	7	19	19	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	59							
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	60							
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	61							
7	7	19	19	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	62							
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	63							
7	7	18	18	0.0	0	0	FiguredBass	3/4	3	1	0							1/4	#		
7	7	18	18	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	64							
7	7	19	19	0.0	1/4	1/4	FiguredBass	3/4	3	1	0							3/8	5	4	
7	7	19	19	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	65							
7	7	41/2	41/2	0.0	5/8	5/8	FiguredBass	3/4	3	1	0							1/8	_	#	
8	8	21	21	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	66							
8	8	21	21	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	67							
8	8	21	21	0.0	0	0	FiguredBass	3/4	3	1	0							3/4	#		
8	8	21	21	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	68							
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	69							
9	9	25	25	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	70							
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	71							
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	72							
9	9	25	25	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	73							
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	74							
9	9	24	24	0.0	0	0	FiguredBass	3/4	3	1	0							1/4	#		
9	9	24	24	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	75							
9	9	25	25	0.0	1/4	1/4	FiguredBass	3/4	3	1	0							1/4	6		
9	9	25	25	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	76							
9	9	26	26	0.0	1/2	1/2	FiguredBass	3/4	3	1	0							1/4	#		
9	9	26	26	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	77							
10	10	27	27	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	78							
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	79							
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	80							
10	10	27	27	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	81							
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	82							
10	10	27	27	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	83							
10	10	29	29	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	84							
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	85							7
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	86							
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	87							8
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	88							
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	89							9
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	90							
11	11	30	30	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	91							10
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	92							
11	11	31	31	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	93							11
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	94							
11	11	32	32	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	95							12
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	96							
11	11	30	30	0.0	0	0	FiguredBass	3/4	3	1	0							1/4	5		
11	11	30	30	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	97							
11	11	31	31	0.0	1/4	1/4	FiguredBass	3/4	3	1	0							1/4	6\		
11	11	32	32	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	98							
12	12	33	33	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	99							
12	12	69/2	69/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	100							13
12	12	139/4	139/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	101							13
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	102							
12	12	33	33	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	103							
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	104							
12	12	33	33	0.0	0	0	FiguredBass	3/4	3	1	0							1/2	#		
12	12	33	33	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	105							
12	12	35	35	0.0	1/2	1/2	FiguredBass	3/4	3	1	0							1/4	h		
