mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	0	0	0	0.0	0	5/8	Tempo	6/8	1	1	0				Allegro	104.0	1.0				
1	0	0	0	0.5	0	5/8	Chord	6/8	1	1	1/8	1/8	1	0							
2	1	1/2	1/2	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	1							
2	1	3/2	3/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	2							
2	1	2	2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	3							
2	1	3	3	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	4							
2	1	3	3	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	5							
2	1	3	3	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	6							
3	2	7/2	7/2	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	7							
3	2	9/2	9/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	8							
3	2	5	5	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	9							
3	2	6	6	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	10							
3	2	7/2	7/2	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	11							
3	2	6	6	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	12							
3	2	7/2	7/2	0.0	0	0	FiguredBass	6/8	3	1	0							3/8	#		
3	2	7/2	7/2	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	13							
3	2	6	6	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	14							
4	3	13/2	13/2	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	15							
4	3	15/2	15/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	16							
4	3	8	8	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	17							
4	3	17/2	17/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	18							
4	3	9	9	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	19							
4	3	13/2	13/2	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	20							
4	3	15/2	15/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	21							
4	3	8	8	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	22							
4	3	17/2	17/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	23							
4	3	9	9	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	24							
4	3	13/2	13/2	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	25							
4	3	15/2	15/2	0.0	1/4	1/4	FiguredBass	6/8	3	1	0							1/8	#		
4	3	15/2	15/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	26							
4	3	8	8	0.0	3/8	3/8	FiguredBass	6/8	3	1	0							3/8	6		
4	3	8	8	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	27							
5	4	19/2	19/2	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	28							
5	4	12	12	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	29							
5	4	19/2	19/2	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	30							
5	4	12	12	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	31							
5	4	19/2	19/2	0.0	0	0	FiguredBass	6/8	3	1	0							3/4	#		
5	4	19/2	19/2	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	32							
5	4	11	11	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	33							
6	5	25/2	25/2	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	34							
6	5	27/2	27/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	35							
6	5	14	14	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	36							
6	5	15	15	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	37							
6	5	25/2	25/2	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	38							
6	5	27/2	27/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	39							
6	5	14	14	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	40							0
6	5	29/2	29/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	41							
6	5	15	15	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	42							
6	5	25/2	25/2	0.0	0	0	FiguredBass	6/8	3	1	0							1/4	7		
6	5	25/2	25/2	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	43							
6	5	27/2	27/2	0.0	1/4	1/4	FiguredBass	6/8	3	1	0							1/8	6		
6	5	14	14	0.0	3/8	3/8	FiguredBass	6/8	3	1	0							3/8	5		
6	5	14	14	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	44							
7	6	31/2	31/2	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	45							1
7	6	33/2	33/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	46							
7	6	35/2	35/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	47							
7	6	18	18	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	48							
7	6	31/2	31/2	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	49							
7	6	18	18	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	50							
7	6	31/2	31/2	0.0	0	0	FiguredBass	6/8	3	1	0							1/4	5__	4	
7	6	31/2	31/2	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	51							
7	6	33/2	33/2	0.0	1/4	1/4	FiguredBass	6/8	3	1	0							1/8	_	3	
7	6	17	17	0.0	3/8	3/8	FiguredBass	6/8	3	1	0							3/8	6		
7	6	17	17	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	52							
8	7	37/2	37/2	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	53							2
8	7	19	19	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	54							
8	7	39/2	39/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	55							
8	7	20	20	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	56							
8	7	21	21	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	57							
8	7	37/2	37/2	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	58							3
8	7	19	19	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	59							
8	7	39/2	39/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	60							
8	7	20	20	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	61							
8	7	37/2	37/2	0.0	0	0	FiguredBass	6/8	3	1	0							1/4	6	4+	
8	7	37/2	37/2	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	62							
8	7	39/2	39/2	0.0	1/4	1/4	FiguredBass	6/8	3	1	0							1/8	7	5	
