mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1
12	12	34	34	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	89		
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	90		
12	12	35	35	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	91		
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	92		
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	93		
12	12	34	34	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	94		
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	95		
12	12	35	35	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	96		
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	97		
12	12	33	33	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	98		
12	12	33	33	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	99		
13	13	36	36	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	100		
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	101		
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	102		
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	103		
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	104		
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	105		
13	13	36	36	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	106		
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	107		
13	13	37	37	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	108		
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	109		
13	13	38	38	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	110		
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	111		
13	13	36	36	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	112		
13	13	36	36	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	113		
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	114		
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	115		
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	116		
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	117		
14	14	41	41	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	118		
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	119		
14	14	39	39	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	120		
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	121		
14	14	40	40	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	122		
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	123		
14	14	41	41	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	124		
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	125		
14	14	39	39	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	126		
14	14	39	39	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	127		
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	128		
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	129		
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	130		
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	131		
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	132		
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	133		
15	15	42	42	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	134		
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	135		
15	15	43	43	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	136		
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	137		
15	15	44	44	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	138		
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	139		
15	15	42	42	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	140		
15	15	42	42	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	141		
16	16	45	45	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	142		
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	143		
16	16	46	46	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	144		
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	145		
16	16	47	47	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	146		
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	147		
16	16	45	45	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	148		
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	149		
16	16	46	46	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	150		
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	151		
16	16	47	47	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	152		
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	153		
16	16	45	45	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	154		
16	16	45	45	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	155		
17	17	48	48	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	156		
17	17	49	49	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	157		
17	17	50	50	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	158		
17	17	48	48	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	159		
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	160		
17	17	49	49	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	161		
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	162		
17	17	50	50	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	163		
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	164		
17	17	48	48	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	165		
17	17	48	48	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	166		
18	18	51	51	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	167		
18	18	52	52	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	168		
18	18	51	51	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	169		
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	170		
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	171		
18	18	51	51	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	172		
18	18	51	51	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	173		
19	19	55	55	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	174		
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	175		
19	19	54	54	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	176		
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	177		
19	19	54	54	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	178		
19	19	54	54	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	179		
20	20	57	57	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	180		
20	20	58	58	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	181		
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	182		
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	183		
20	20	57	57	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	184		
20	20	57	57	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	185		
21	21	61	61	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	186		
21	21	62	62	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	187		
21	21	60	60	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	188		
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	189		
21	21	60	60	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	190		
21	21	60	60	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	191		
22	22	63	63	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	192		
22	22	64	64	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	193		
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	194		
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	195		
22	22	63	63	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	196		
22	22	63	63	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	197		
23	23	67	67	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	198		
23	23	68	68	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	199		
23	23	66	66	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	200		
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	201		
23	23	66	66	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	202		
23	23	66	66	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	203		
24	24	69	69	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	204		
24	24	70	70	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	205		
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	206		
24	24	71	71	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	207		
24	24	69	69	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	208		
24	24	69	69	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	209		
25	25	73	73	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	210		
25	25	74	74	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	211		
25	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	212		
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	213		
25	25	72	72	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	214		
25	25	72	72	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	215		
26	26	75	75	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	216		
26	26	76	76	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	217		
26	26	76	76	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	218		
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	219		
26	26	75	75	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	220		
26	26	75	75	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	221		
27	27	79	79	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	222		
27	27	80	80	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	223		
27	27	78	78	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	224		
27	27	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	225		
27	27	78	78	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	226		
27	27	78	78	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	227		
28	28	81	81	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	228		
28	28	82	82	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	229		
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	230		
28	28	81	81	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	231		
28	28	81	81	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	232		
29	29	169/2	169/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	233		
29	29	85	85	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	234		
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	235		
29	29	86	86	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	236		
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	237		
29	29	84	84	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	238		
29	29	84	84	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	239		
29	29	84	84	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	240		
30	30	87	87	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	241		
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	242		
30	30	88	88	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	243		
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	244		
30	30	89	89	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	245		
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	246		
30	30	87	87	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	247		
30	30	87	87	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	248		
31	31	181/2	181/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	249		
31	31	91	91	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	250		
31	31	183/2	183/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	251		
31	31	92	92	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	252		
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	253		
31	31	90	90	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	254		
31	31	90	90	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	255		
31	31	90	90	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	256		
32	32	93	93	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	257		
32	32	187/2	187/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	258		
32	32	94	94	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	259		
32	32	189/2	189/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	260		
32	32	95	95	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	261		
32	32	191/2	191/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	262		
32	32	93	93	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	263		
32	32	93	93	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	264		
33	33	193/2	193/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	265		
33	33	97	97	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	266		
33	33	195/2	195/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	267		
33	33	98	98	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	268		
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	269		
33	33	96	96	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	270		
33	33	96	96	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	271		
33	33	96	96	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	272		
34	34	99	99	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	273		
34	34	199/2	199/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	274		
34	34	100	100	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	275		
34	34	201/2	201/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	276		
34	34	101	101	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	277		
34	34	203/2	203/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	278		
34	34	99	99	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	279		
34	34	99	99	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	280		
35	35	205/2	205/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	281		
35	35	103	103	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	282		
35	35	207/2	207/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	283		
35	35	104	104	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	284		
35	35	209/2	209/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	285		
35	35	102	102	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	286		
35	35	102	102	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	287		
35	35	102	102	3.0	0	0	Chord	6/8	4	1	3/4	1/2	3/2	288		
36	36	105	105	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	289		
36	36	211/2	211/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	290		
36	36	106	106	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	291		
36	36	213/2	213/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	292		
36	36	107	107	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	293		
36	36	215/2	215/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	294		
36	36	211/2	211/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	295		
36	36	106	106	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	296		
36	36	213/2	213/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	297		
36	36	107	107	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	298		
36	36	215/2	215/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	299		
36	36	105	105	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	300		
36	36	105	105	3.0	0	0	Chord	6/8	4	1	3/4	1/2	3/2	301		
37	37	108	108	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	302		
37	37	217/2	217/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	303		
