mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	2	2	4.0	1/2	1/2	Chord	3/2	1	1	1	1	1	0					
1	1	0	0	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	1					
1	1	2	2	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	2					
1	1	4	4	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	3					
1	1	0	0	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	4					
1	1	2	2	0.0	1/2	1/2	FiguredBass	3/2	4	1	0					1/2	6		
1	1	2	2	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	5					
1	1	4	4	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	6					
2	2	6	6	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	7					
2	2	8	8	4.0	1/2	1/2	Chord	3/2	1	1	1	1	1	8					
2	2	6	6	6.0	0	0	Chord	3/2	2	1	3/2	1	3/2	9					
2	2	6	6	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	10					
2	2	8	8	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	11					
2	2	10	10	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	12					
2	2	6	6	0.0	0	0	FiguredBass	3/2	4	1	0					1/2	6	5	
2	2	6	6	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	13					
2	2	8	8	0.0	1/2	1/2	FiguredBass	3/2	4	1	0					1/2	#		
2	2	8	8	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	14					
2	2	10	10	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	15					
3	3	12	12	4.0	0	0	Chord	3/2	1	1	1	1	1	16					
3	3	16	16	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	17					
3	3	12	12	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	18					
3	3	14	14	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	19					
3	3	16	16	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	20					
3	3	14	14	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	21					
3	3	16	16	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	22					
3	3	14	14	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	23					
3	3	16	16	0.0	1	1	FiguredBass	3/2	4	1	0					1/2	6		
3	3	16	16	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	24					
4	4	18	18	1.0	0	0	Chord	3/2	1	1	1/4	1/4	1	25					0
4	4	19	19	1.0	1/4	1/4	Chord	3/2	1	1	1/4	1/4	1	26					
4	4	20	20	4.0	1/2	1/2	Chord	3/2	1	1	1	1	1	27					
4	4	18	18	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	28					
4	4	20	20	3.0	1/2	1/2	Chord	3/2	2	1	3/4	1/2	3/2	29	ornamentTrill				
4	4	23	23	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	30					
4	4	18	18	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	31					
4	4	20	20	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	32					
4	4	22	22	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	33					
4	4	18	18	0.0	0	0	FiguredBass	3/2	4	1	0					1/2	6	5	
4	4	18	18	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	34					
4	4	20	20	0.0	1/2	1/2	FiguredBass	3/2	4	1	0					1/2	5	4	
4	4	20	20	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	35					
4	4	22	22	0.0	1	1	FiguredBass	3/2	4	1	0					1/2	#		
4	4	22	22	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	36					
5	5	24	24	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	37					
5	5	26	26	4.0	1/2	1/2	Chord	3/2	1	1	1	1	1	38					
5	5	24	24	4.0	0	0	Chord	3/2	2	1	1	1	1	39					
5	5	24	24	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	40					
5	5	26	26	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	41					
5	5	28	28	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	42					
5	5	24	24	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	43					
5	5	26	26	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	44					
5	5	28	28	0.0	1	1	FiguredBass	3/2	4	1	0					1/2	6		
5	5	28	28	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	45					
6	6	30	30	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	46					
6	6	32	32	4.0	1/2	1/2	Chord	3/2	1	1	1	1	1	47					
6	6	30	30	6.0	0	0	Chord	3/2	2	1	3/2	1	3/2	48					
6	6	30	30	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	49					
6	6	32	32	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	50					
