mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	0.0	0	0	Tempo	3/2	1	1	0				𝅗𝅥=66	132.0	𝅗𝅥	66.0	0.0				
1	1	0	0	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	0									
1	1	2	2	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	1									
1	1	4	4	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	2									
2	2	6	6	4.0	0	0	Chord	3/2	1	1	1	1	1	3									
2	2	10	10	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	4									
2	2	6	6	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	5									
2	2	8	8	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	6									
2	2	10	10	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	7									
3	3	12	12	4.0	0	0	Chord	3/2	1	1	1	1	1	8									
3	3	16	16	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	9									
3	3	12	12	4.0	0	0	Chord	3/2	2	1	1	1	1	10									
3	3	16	16	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	11									
3	3	12	12	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	12									
3	3	14	14	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	13									
3	3	16	16	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	14									
3	3	12	12	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	15									
3	3	14	14	0.0	1/2	1/2	FiguredBass	3/2	4	1	0									1/2	6		
3	3	14	14	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	16									
3	3	16	16	0.0	1	1	FiguredBass	3/2	4	1	0									1/2	#		
3	3	16	16	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	17									
4	4	18	18	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	18									
4	4	20	20	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	19									
4	4	22	22	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	20									
4	4	18	18	4.0	0	0	Chord	3/2	2	1	1	1	1	21									
4	4	22	22	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	22									
4	4	18	18	4.0	0	0	Chord	3/2	3	1	1	1	1	23									
4	4	22	22	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	24									
4	4	18	18	0.0	0	0	FiguredBass	3/2	4	1	0									1/2	9		
4	4	18	18	4.0	0	0	Chord	3/2	4	1	1	1	1	25									
4	4	20	20	0.0	1/2	1/2	FiguredBass	3/2	4	1	0									1/2	8		
4	4	22	22	0.0	1	1	FiguredBass	3/2	4	1	0									1/2	5\		
4	4	22	22	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	26									
5	5	24	24	4.0	0	0	Chord	3/2	1	1	1	1	1	27									
5	5	28	28	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	28									
5	5	24	24	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	29									
5	5	26	26	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	30									
5	5	28	28	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	31									
5	5	24	24	4.0	0	0	Chord	3/2	3	1	1	1	1	32									
5	5	28	28	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	33									
5	5	24	24	0.0	0	0	FiguredBass	3/2	4	1	0									1/2	9	b	
5	5	24	24	4.0	0	0	Chord	3/2	4	1	1	1	1	34									
5	5	26	26	0.0	1/2	1/2	FiguredBass	3/2	4	1	0									1/2	8		
5	5	28	28	0.0	1	1	FiguredBass	3/2	4	1	0									1/2	6		
5	5	28	28	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	35									
6	6	30	30	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	36									
6	6	32	32	4.0	1/2	1/2	Chord	3/2	1	1	1	1	1	37									
6	6	30	30	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	38									
6	6	32	32	4.0	1/2	1/2	Chord	3/2	2	1	1	1	1	39									
6	6	30	30	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	40									
6	6	32	32	4.0	1/2	1/2	Chord	3/2	3	1	1	1	1	41									
6	6	30	30	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	42									
6	6	32	32	0.0	1/2	1/2	FiguredBass	3/2	4	1	0									1	6		
6	6	32	32	4.0	1/2	1/2	Chord	3/2	4	1	1	1	1	43									
7	7	36	36	4.0	0	0	Chord	3/2	1	1	1	1	1	44									
7	7	40	40	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	45									
7	7	36	36	6.0	0	0	Chord	3/2	2	1	3/2	1	3/2	46									
7	7	36	36	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	47									
7	7	38	38	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	48									
7	7	40	40	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	49									
7	7	36	36	0.0	0	0	FiguredBass	3/2	4	1	0									1/2	#		
7	7	36	36	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	50									
7	7	38	38	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	51									
7	7	40	40	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	52									
8	8	42	42	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	53									
8	8	44	44	1.0	1/2	1/2	Chord	3/2	1	1	1/4	1/4	1	54									0
8	8	45	45	1.0	3/4	3/4	Chord	3/2	1	1	1/4	1/4	1	55									
8	8	46	46	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	56									
