mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	0				
1	1	1	1	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	1				
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	2				
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	3				
1	1	1	1	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	4				
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	5				
1	1	0	0	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	6				
1	1	1	1	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	7				
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	8				
1	1	0	0	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	9				
1	1	1	1	0.0	1/4	1/4	FiguredBass	3/4	4	1	0				3/8	6		
1	1	1	1	1.5	1/4	1/4	Chord	3/4	4	1	3/8	1/4	3/2	10				
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8	1/8	1	11				
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	12				
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	13				
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	14				
2	2	3	3	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	15				
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	16				
2	2	3	3	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	17				
2	2	5	5	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	18				
2	2	3	3	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	19				
2	2	5	5	0.0	1/2	1/2	FiguredBass	3/4	4	1	0				1/4	6		
2	2	5	5	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	20				
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	21				
3	3	7	7	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	22				
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	23				
3	3	7	7	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	24				
3	3	6	6	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	25				
3	3	7	7	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	26				
3	3	8	8	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	27				
3	3	6	6	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	28				
3	3	7	7	0.0	1/4	1/4	FiguredBass	3/4	4	1	0				1/4	6		
3	3	7	7	1.0	1/4	1/4	Chord	3/4	4	1	1/4	1/4	1	29				
3	3	8	8	0.0	1/2	1/2	FiguredBass	3/4	4	1	0				1/4	7		
3	3	8	8	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	30				
4	4	9	9	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	31				
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	32				
4	4	9	9	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	33				
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	34				
4	4	9	9	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	35				
4	4	11	11	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	36				
4	4	9	9	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	37				
4	4	11	11	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	38				
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	39				
5	5	13	13	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	40				
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	41				
5	5	13	13	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	42				
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	43				
5	5	12	12	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	44				
5	5	13	13	1.5	1/4	1/4	Chord	3/4	3	1	3/8	1/4	3/2	45				
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8	1/8	1	46				
5	5	12	12	0.0	0	0	FiguredBass	3/4	4	1	0				1/4	7		
5	5	12	12	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	47				
5	5	13	13	0.0	1/4	1/4	FiguredBass	3/4	4	1	0				3/8	5b		
5	5	13	13	1.5	1/4	1/4	Chord	3/4	4	1	3/8	1/4	3/2	48				
5	5	29/2	29/2	0.0	5/8	5/8	FiguredBass	3/4	4	1	0				1/8	6		
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8	1/8	1	49				
6	6	15	15	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	50				
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	51				
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	52				
6	6	15	15	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	53				
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	54				
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	55				
6	6	15	15	1.5	0	0	Chord	3/4	3	1	3/8	1/4	3/2	56				
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	57				
6	6	17	17	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	58				
6	6	15	15	1.5	0	0	Chord	3/4	4	1	3/8	1/4	3/2	59				
6	6	33/2	33/2	0.0	3/8	3/8	FiguredBass	3/4	4	1	0				1/8	6		
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8	1/8	1	60				
6	6	17	17	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	61				
7	7	18	18	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	62				
7	7	19	19	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	63				
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	64				
7	7	19	19	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	65				
7	7	18	18	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	66				
7	7	19	19	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	67				
7	7	18	18	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	68				
7	7	19	19	0.0	1/4	1/4	FiguredBass	3/4	4	1	0				1/4	5	4	
7	7	19	19	2.0	1/4	1/4	Chord	3/4	4	1	1/2	1/2	1	69				
7	7	20	20	0.0	1/2	1/2	FiguredBass	3/4	4	1	0				1/4	3		
8	8	21	21	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	70				
8	8	21	21	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	71				
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	72				
8	8	22	22	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	73				
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	74				
8	8	23	23	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	75				
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	76				
8	8	21	21	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	77				
8	8	21	21	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	78				
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	79				
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	80				
9	9	25	25	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	81				
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	82				
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	83				
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	84				
9	9	24	24	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	85				
9	9	24	24	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	86				
9	9	24	24	0.0	0	0	FiguredBass	3/4	4	1	0				3/4	6		
9	9	24	24	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	87				
10	10	27	27	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	88				
10	10	27	27	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	89				
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	90				
10	10	28	28	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	91				
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	92				
10	10	29	29	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	93				
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	94				
10	10	27	27	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	95				
10	10	27	27	0.0	0	0	FiguredBass	3/4	4	1	0				1/2	5		
10	10	27	27	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	96				
10	10	29	29	0.0	1/2	1/2	FiguredBass	3/4	4	1	0				1/4	6\		
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	97				
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	98				
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	99				
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	100				
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	101				
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	102				
11	11	30	30	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	103				
11	11	30	30	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	104				
11	11	30	30	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	105				
12	12	33	33	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	106				
12	12	33	33	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	107				
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	108				
12	12	34	34	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	109				
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	110				
12	12	35	35	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	111				
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	112				
12	12	33	33	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	113				
12	12	33	33	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	114				
13	13	36	36	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	115				
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	116				
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	117				
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	118				
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	119				
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	120				
13	13	36	36	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	121				
13	13	36	36	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	122				
13	13	36	36	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	123				
14	14	39	39	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	124				
14	14	39	39	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	125				
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	126				
14	14	40	40	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	127				
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	128				
14	14	41	41	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	129				
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	130				
14	14	39	39	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	131				
14	14	39	39	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	132				
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	133				
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	134				
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	135				
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	136				
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	137				
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	138				
15	15	42	42	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	139				
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	140				
15	15	43	43	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	141				
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	142				
15	15	44	44	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	143				
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	144				
15	15	42	42	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	145				
15	15	42	42	0.0	0	0	FiguredBass	3/4	4	1	0				1/2	5		
15	15	42	42	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	146				
15	15	44	44	0.0	1/2	1/2	FiguredBass	3/4	4	1	0				1/4	6		
16	16	45	45	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	147				
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	148				
16	16	46	46	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	149				
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	150				
16	16	47	47	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	151				
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	152				
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	153				
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	154				
16	16	47	47	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	155				
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	156				
16	16	45	45	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	157				
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	158				
16	16	47	47	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	159				
16	16	45	45	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	160				
16	16	93/2	93/2	0.0	3/8	3/8	FiguredBass	3/4	4	1	0				1/8	6		
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8	1/8	1	161				
16	16	47	47	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	162				
17	17	48	48	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	163				
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	164				
17	17	49	49	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	165				
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	166				
17	17	49	49	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	167				
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	168				
17	17	48	48	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	169				
17	17	49	49	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	170				
17	17	48	48	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	171				
17	17	49	49	0.0	1/4	1/4	FiguredBass	3/4	4	1	0				1/4	5	4	
17	17	49	49	2.0	1/4	1/4	Chord	3/4	4	1	1/2	1/2	1	172				
17	17	50	50	0.0	1/2	1/2	FiguredBass	3/4	4	1	0				1/4	3		
18	18	51	51	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	173				
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	174				
18	18	52	52	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	175				
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	176				
18	18	53	53	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	177				
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	178				
18	18	51	51	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	179				
18	18	51	51	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	180				
18	18	51	51	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	181				
19	19	54	54	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	182				
19	19	54	54	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	183				
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	184				
19	19	55	55	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	185				
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	186				
19	19	56	56	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	187				
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	188				
19	19	54	54	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	189				
19	19	54	54	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	190				
20	20	57	57	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	191				
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	192				
20	20	58	58	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	193				
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	194				
20	20	59	59	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	195				
20	20	119/2	119/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	196				
20	20	57	57	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	197				
20	20	57	57	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	198				
20	20	57	57	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	199				
21	21	60	60	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	200				
21	21	60	60	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	201				
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	202				
21	21	61	61	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	203				
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	204				
21	21	62	62	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	205				
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	206				
21	21	60	60	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	207				
21	21	60	60	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	208				
22	22	127/2	127/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	209				0
22	22	255/4	255/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	210				0
22	22	64	64	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	211				
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	212				
22	22	65	65	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	213				
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	214				
22	22	63	63	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	215				
22	22	63	63	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	216				
22	22	63	63	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	217				
23	23	66	66	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	218				
23	23	133/2	133/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	219				1
23	23	267/4	267/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	220				1
23	23	67	67	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	221				
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	222				
23	23	68	68	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	223				
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	224				
23	23	133/2	133/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	225				2
23	23	267/4	267/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	226				2
23	23	67	67	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	227				
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	228				
23	23	68	68	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	229				
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	230				
23	23	66	66	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	231				
23	23	66	66	0.0	0	0	FiguredBass	3/4	4	1	0				1/4	5		
23	23	66	66	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	232				
23	23	67	67	0.0	1/4	1/4	FiguredBass	3/4	4	1	0				1/2	6		
24	24	69	69	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	233				
24	24	139/2	139/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	234				
24	24	70	70	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	235				
24	24	143/2	143/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	236				
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	237				
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	238				
24	24	71	71	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	239				
24	24	143/2	143/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	240				
24	24	69	69	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	241				
24	24	71	71	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	242				
24	24	69	69	0.0	0	0	FiguredBass	3/4	4	1	0				1/4	5		
24	24	69	69	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	243				
24	24	70	70	0.0	1/4	1/4	FiguredBass	3/4	4	1	0				1/4	6		
24	24	71	71	0.0	1/2	1/2	FiguredBass	3/4	4	1	0				1/4	6		
24	24	71	71	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	244				
25	25	72	72	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	245				
25	25	145/2	145/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	246				
25	25	73	73	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	247				
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	248				
25	25	72	72	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	249				
25	25	145/2	145/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	250				
25	25	73	73	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	251				
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	252				
25	25	74	74	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	253				
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	254				
25	25	72	72	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	255				
25	25	74	74	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	256				
25	25	72	72	0.0	0	0	FiguredBass	3/4	4	1	0				1/4	5		
25	25	72	72	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	257				
25	25	73	73	0.0	1/4	1/4	FiguredBass	3/4	4	1	0				1/4	6		
25	25	74	74	0.0	1/2	1/2	FiguredBass	3/4	4	1	0				1/4	b		
25	25	74	74	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	258				
26	26	75	75	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	259				
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	260				
26	26	76	76	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	261				
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	262				
26	26	75	75	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	263				
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	264				
26	26	77	77	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	265				
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	266				
26	26	75	75	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	267				
26	26	77	77	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	268				
26	26	75	75	0.0	0	0	FiguredBass	3/4	4	1	0				1/4	5		
26	26	75	75	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	269				
26	26	76	76	0.0	1/4	1/4	FiguredBass	3/4	4	1	0				1/4	6		
26	26	77	77	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	270				
27	27	78	78	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	271				
27	27	157/2	157/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	272				
27	27	79	79	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	273				
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	274				
27	27	78	78	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	275				
27	27	157/2	157/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	276				
