mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0				𝅘𝅥=60	60.0	𝅘𝅥	60.0	1.0				
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	0									
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	1									
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	2									
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	3									
1	1	0	0	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	4									
1	1	0	0	3.0	0	0	Chord	3/4	4	1	3/4	1/2	3/2	5									
1	1	2	2	0.0	1/2	1/2	FiguredBass	3/4	4	1	0									1/4	4	2	
2	2	3	3	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	6									
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	7									
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	8									
2	2	3	3	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	9									
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	10									
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	11									
2	2	3	3	1.5	0	0	Chord	3/4	3	1	3/8	1/4	3/2	12									
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8	1/8	1	13									
2	2	5	5	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	14									
2	2	3	3	0.0	0	0	FiguredBass	3/4	4	1	0									3/8	5	2	
2	2	3	3	1.5	0	0	Chord	3/4	4	1	3/8	1/4	3/2	15									
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8	1/8	1	16									
2	2	5	5	0.0	1/2	1/2	FiguredBass	3/4	4	1	0									1/4	6		
2	2	5	5	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	17									
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	18									
3	3	7	7	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	19									
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	20									
3	3	6	6	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	21									
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	22									
3	3	7	7	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	23									
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	24									
3	3	6	6	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	25									
3	3	7	7	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	26									
3	3	8	8	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	27									
3	3	6	6	0.0	0	0	FiguredBass	3/4	4	1	0									1/4	6	5	
3	3	6	6	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	28									
3	3	7	7	0.0	1/4	1/4	FiguredBass	3/4	4	1	0									1/4	6	4	
3	3	7	7	1.0	1/4	1/4	Chord	3/4	4	1	1/4	1/4	1	29									
3	3	8	8	0.0	1/2	1/2	FiguredBass	3/4	4	1	0									1/4	5	3	
3	3	8	8	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	30									
4	4	9	9	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	31									
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	32									
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	33									
4	4	9	9	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	34									
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	35									
4	4	9	9	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	36									
4	4	10	10	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	37									
4	4	11	11	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	38									
4	4	9	9	0.0	0	0	FiguredBass	3/4	4	1	0									1/4	5		
4	4	9	9	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	39									
4	4	10	10	1.0	1/4	1/4	Chord	3/4	4	1	1/4	1/4	1	40									
4	4	11	11	0.0	1/2	1/2	FiguredBass	3/4	4	1	0									1/4	6		
4	4	11	11	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	41									
5	5	12	12	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	42									
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	43									
5	5	12	12	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	44									
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	45									
5	5	12	12	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	46									
5	5	14	14	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	47									
5	5	12	12	0.0	0	0	FiguredBass	3/4	4	1	0									1/2	6		
5	5	12	12	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	48									
5	5	14	14	0.0	1/2	1/2	FiguredBass	3/4	4	1	0									1/4	6		
5	5	14	14	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	49									
6	6	15	15	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	50									
6	6	16	16	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	51									
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	52									
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	53									
6	6	16	16	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	54									
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	55									
6	6	15	15	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	56									
6	6	16	16	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	57									
6	6	15	15	0.0	0	0	FiguredBass	3/4	4	1	0									1/4	7		
6	6	15	15	1.0	0	0	Chord	3/4	4	1	1/4	1/4	1	58									
6	6	16	16	0.0	1/4	1/4	FiguredBass	3/4	4	1	0									1/4	7		
6	6	16	16	2.0	1/4	1/4	Chord	3/4	4	1	1/2	1/2	1	59									
6	6	17	17	0.0	1/2	1/2	FiguredBass	3/4	4	1	0									1/4	6		
7	7	18	18	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	60									
7	7	19	19	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	61									
7	7	18	18	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	62									
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	63									
7	7	18	18	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	64									
7	7	20	20	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	65									
7	7	18	18	0.0	0	0	FiguredBass	3/4	4	1	0									1/2	#		
7	7	18	18	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	66									
7	7	20	20	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	67									
8	8	21	21	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	68									
8	8	22	22	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	69									
8	8	21	21	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	70									
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	71									
8	8	21	21	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	72									
8	8	23	23	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	73									
8	8	21	21	0.0	0	0	FiguredBass	3/4	4	1	0									1/4	7		
8	8	21	21	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	74									
8	8	22	22	0.0	1/4	1/4	FiguredBass	3/4	4	1	0									1/4	6		
8	8	23	23	0.0	1/2	1/2	FiguredBass	3/4	4	1	0									1/4	5		
8	8	23	23	1.0	1/2	1/2	Chord	3/4	4	1	1/4	1/4	1	75									
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	76									
9	9	25	25	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	77									
9	9	24	24	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	78									
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	79									
9	9	24	24	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	80									
9	9	26	26	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	81									
9	9	24	24	0.0	0	0	FiguredBass	3/4	4	1	0									1/4	7		
9	9	24	24	2.0	0	0	Chord	3/4	4	1	1/2	1/2	1	82									
9	9	25	25	0.0	1/4	1/4	FiguredBass	3/4	4	1	0									1/4	6		
