mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=52	52.0	𝅘𝅥	52.0	0.0				
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0				Tonart: A-Mixolydisch									
1	1	0	0	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	0										
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	1										
1	1	0	0	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	2										
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	3										
1	1	0	0	3.0	0	0	Chord	4/4	3	1	3/4	1/2	3/2	4										
1	1	3	3	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	5										
1	1	0	0	3.0	0	0	Chord	4/4	4	1	3/4	1/2	3/2	6										
1	1	3	3	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	7										
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	8										
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	9										
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	10										
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	11										
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	12										
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	13										
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	14										
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	15										
2	2	4	4	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	16										
2	2	5	5	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	17										
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	18										
2	2	6	6	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	19										
2	2	7	7	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	20										
2	2	4	4	0.0	0	0	FiguredBass	4/4	4	1	0										1/4	6\		
2	2	4	4	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	21										
2	2	5	5	0.0	1/4	1/4	FiguredBass	4/4	4	1	0										1/8	6		
2	2	5	5	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	22										
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	23										
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	4	1	0										1/4	#		
2	2	6	6	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	24										
2	2	7	7	0.0	3/4	3/4	FiguredBass	4/4	4	1	0										1/4	6		
2	2	7	7	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	25										
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	26										
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	27										
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	28										
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	29										
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	30										
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	31										
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	32										
3	3	8	8	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	33										
3	3	9	9	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	34										
3	3	10	10	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	35										
3	3	11	11	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	36										
3	3	8	8	0.0	0	0	FiguredBass	4/4	4	1	0										1/4	7		
3	3	8	8	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	37										
3	3	9	9	0.0	1/4	1/4	FiguredBass	4/4	4	1	0										1/4	7	#	
3	3	9	9	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	38										
3	3	10	10	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	39										
3	3	11	11	0.0	3/4	3/4	FiguredBass	4/4	4	1	0										1/4	5		
3	3	11	11	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	40										
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	41										
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	42										
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	43										
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	44										
4	4	13	13	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	45										
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	46										
4	4	12	12	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	47										
4	4	13	13	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	48										
4	4	14	14	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	49										
4	4	15	15	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	50										
4	4	12	12	0.0	0	0	FiguredBass	4/4	4	1	0										1/4	4+	2	
4	4	12	12	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	51										
4	4	13	13	0.0	1/4	1/4	FiguredBass	4/4	4	1	0										1/4	6		
4	4	13	13	1.0	1/4	1/4	Chord	4/4	4	1	1/4	1/4	1	52										
4	4	14	14	0.0	1/2	1/2	FiguredBass	4/4	4	1	0										1/4	7		
4	4	14	14	1.0	1/2	1/2	Chord	4/4	4	1	1/4	1/4	1	53										
4	4	15	15	0.0	3/4	3/4	FiguredBass	4/4	4	1	0										1/4	7	#	
4	4	15	15	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	54										
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	55										
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	56										
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	57										
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	58										
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	59										
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	60										
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	61										
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	62										
5	5	16	16	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	63										
5	5	17	17	2.0	1/4	1/4	Chord	4/4	3	1	1/2	1/2	1	64										
5	5	19	19	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	65										
5	5	16	16	0.0	0	0	FiguredBass	4/4	4	1	0										1/4	#		
5	5	16	16	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	66										
5	5	17	17	0.0	1/4	1/4	FiguredBass	4/4	4	1	0										1/4	5		
5	5	17	17	2.0	1/4	1/4	Chord	4/4	4	1	1/2	1/2	1	67										
5	5	18	18	0.0	1/2	1/2	FiguredBass	4/4	4	1	0										1/4	4	2	
5	5	19	19	0.0	3/4	3/4	FiguredBass	4/4	4	1	0										1/4	6		
5	5	19	19	1.0	3/4	3/4	Chord	4/4	4	1	1/4	1/4	1	68										
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	69										
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	70										
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	71										
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	72										
6	6	21	21	2.0	1/4	1/4	Chord	4/4	2	1	1/2	1/2	1	73										
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	74										
6	6	20	20	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	75										
6	6	21	21	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	76										
6	6	22	22	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	77										
6	6	23	23	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	78										
6	6	20	20	0.0	0	0	FiguredBass	4/4	4	1	0										1/4	4+	2	
6	6	20	20	1.0	0	0	Chord	4/4	4	1	1/4	1/4	1	79										
6	6	21	21	0.0	1/4	1/4	FiguredBass	4/4	4	1	0										1/4	6		
